system:time_start,lwe_thickness_csr,lwe_thickness_gfz,lwe_thickness_jpl
"Apr 1, 2002",2.384,2.833,7.078
"May 1, 2002",9.916,7.282,6.853
"Aug 1, 2002",1.264,1.919,3.251
"Sep 1, 2002",1.095,2.143,1.638
"Oct 1, 2002",1.966,4.026,5.049
"Nov 1, 2002",6.094,7.514,5.823
"Dec 1, 2002",8.078,5.937,5.343
"Jan 1, 2003",6.668,2.246,6.908
"Feb 1, 2003",0.421,-0.361,2.979
"Mar 1, 2003",0.921,0.87,0.398
"Apr 1, 2003",0.92,3.869,1.345
"May 1, 2003",6.311,4.614,5.992
"Jul 1, 2003",5.019,5.65,6.195
"Aug 1, 2003",4.811,3.503,4.866
"Sep 1, 2003",5.052,5.131,4.177
"Oct 1, 2003",4.22,2.439,3.918
"Nov 1, 2003",3.807,8.145,4.606
"Dec 1, 2003",5.491,8.178,5.056
"Dec 19, 2003",1.516,3.404,2.459
"Feb 4, 2004",-0.365,0.072,-1.948
"Mar 1, 2004",-2.71,-3.421,-3.713
"Apr 1, 2004",1.979,-2.798,1.152
"May 1, 2004",3.624,3.906,3.055
"Jun 1, 2004",0.981,0.356,-0.196
"Jul 1, 2004",0.403,-0.071,-0.21
"Aug 1, 2004",-0.716,-0.61,-1.271
"Sep 1, 2004",-1.53,-0.927,-0.911
"Oct 1, 2004",-0.482,-0.059,0.309
"Nov 1, 2004",2.442,3.666,2.494
"Dec 1, 2004",4.074,5.227,2.69
"Jan 1, 2005",0.944,-0.94,0.084
"Feb 1, 2005",-0.371,-1.67,-1.465
"Mar 1, 2005",-3.229,-1.89,-2.56
"Apr 1, 2005",-4.186,-4.355,-3.304
"May 1, 2005",1.384,-1.846,-0.354
"Jun 1, 2005",0.695,0.066,0.312
"Jul 1, 2005",0.168,-1.658,-0.702
"Aug 1, 2005",0.251,-2.236,0.7
"Sep 1, 2005",0.814,-2.32,1.3
"Oct 1, 2005",-0.905,-1.851,-0.17
"Nov 1, 2005",0.109,-0.876,-0.127
"Dec 1, 2005",-1.927,-2.521,-2.622
"Jan 1, 2006",-3.527,-5.102,-4.906
"Feb 1, 2006",-8.074,-8.051,-7.71
"Mar 1, 2006",-7.103,-8.454,-6.29
"Apr 1, 2006",-5.175,-5.558,-4.026
"May 1, 2006",-2.034,-2.092,-3.31
"Jun 1, 2006",-4.276,-2.529,-2.753
"Jul 1, 2006",-4.575,-2.879,-3.555
"Aug 1, 2006",-3.733,-3.351,-2.015
"Sep 1, 2006",-4.118,-4.033,-4.363
"Oct 1, 2006",-4.151,-2.884,-5.202
"Nov 1, 2006",1.67,2.982,0.634
"Dec 1, 2006",7.193,6.962,5.927
"Jan 1, 2007",7.139,5.992,7.328
"Feb 1, 2007",2.473,2.467,2.537
"Mar 1, 2007",0.056,0.565,0.178
"Apr 1, 2007",0.031,0.575,-0.651
"May 1, 2007",0.975,3.034,2.442
"Jun 1, 2007",1.496,3.347,3.224
"Jul 1, 2007",2.522,4.084,4.845
"Aug 1, 2007",3.325,4.131,2.827
"Sep 1, 2007",4.719,5.521,3.246
"Oct 1, 2007",5.323,4.303,5.739
"Nov 1, 2007",5.975,8.01,5.912
"Dec 1, 2007",3.452,4.62,4.543
