system:time_start,lwe_thickness_csr,lwe_thickness_gfz,lwe_thickness_jpl
"Apr 1, 2002",1.617,-0.772,-0.162
"May 1, 2002",0.394,-3.285,-0.03
"Aug 1, 2002",-0.715,-2.663,2.49
"Sep 1, 2002",-1.501,-0.278,0.965
"Oct 1, 2002",1.407,1.415,1.599
"Nov 1, 2002",2.835,2.175,4.325
"Dec 1, 2002",-0.541,1.996,-1.602
"Jan 1, 2003",3.013,0.028,1.731
"Feb 1, 2003",1.525,0.448,3.273
"Mar 1, 2003",0.067,-2.057,0.85
"Apr 1, 2003",-0.927,-3.803,0.688
"May 1, 2003",-1.592,-2.346,-0.338
"Jul 1, 2003",-1.237,0.481,0.453
"Aug 1, 2003",1.082,2.703,0.425
"Sep 1, 2003",0.197,2.615,1.239
"Oct 1, 2003",0.718,1.988,-0.062
"Nov 1, 2003",0.266,0.864,-0.474
"Dec 1, 2003",1.34,-1.084,1.499
"Dec 19, 2003",0.65,1.574,0.255
"Feb 4, 2004",-0.14,0.671,0.823
"Mar 1, 2004",-0.606,-1.138,-1.268
"Apr 1, 2004",-0.183,0.429,0.813
"May 1, 2004",-1.558,-2.401,0.353
"Jun 1, 2004",-1.918,-3.345,-0.94
"Jul 1, 2004",0.172,-1.891,2.216
"Aug 1, 2004",0.633,-0.289,1.932
"Sep 1, 2004",-0.991,-0.487,-0.358
"Oct 1, 2004",-1.349,1.959,-1.418
"Nov 1, 2004",-0.358,0.942,0.336
"Dec 1, 2004",-0.261,-1.236,0.291
"Jan 1, 2005",-1.342,-1.192,-1.974
"Feb 1, 2005",-0.537,-0.903,-1.791
"Mar 1, 2005",-0.215,-0.043,-0.264
"Apr 1, 2005",-1.727,-1.564,-0.495
"May 1, 2005",-0.709,-1.986,0.151
"Jun 1, 2005",0.064,1.078,0.23
"Jul 1, 2005",0.33,0.344,0.122
"Aug 1, 2005",0.887,0.874,1.436
"Sep 1, 2005",1.704,0.833,2.466
"Oct 1, 2005",0.696,0.895,0.547
"Nov 1, 2005",0.408,1.514,-0.076
"Dec 1, 2005",-0.118,2.296,0.615
"Jan 1, 2006",-0.755,-0.365,-1.762
"Feb 1, 2006",-0.359,0.284,-0.284
"Mar 1, 2006",2.155,2.441,2.313
"Apr 1, 2006",0.574,1.061,0.698
"May 1, 2006",-0.612,-0.926,-0.465
"Jun 1, 2006",0.76,0.312,0.038
"Jul 1, 2006",0.438,-1.892,0.476
