system:time_start,lwe_thickness_csr,lwe_thickness_gfz,lwe_thickness_jpl
"Apr 1, 2002",1.769,1.078,3.888
"May 1, 2002",7.961,4.399,6.703
"Aug 1, 2002",2.966,3.376,1.048
"Sep 1, 2002",2.29,3.899,3.775
"Oct 1, 2002",4.93,6.726,6.442
"Nov 1, 2002",9.65,11.357,8.846
"Dec 1, 2002",10.282,11.415,8.933
"Jan 1, 2003",10.515,4.393,12.623
"Feb 1, 2003",1.392,0.142,2.497
"Mar 1, 2003",0.499,-0.909,0.259
"Apr 1, 2003",-0.377,5.204,-0.457
"May 1, 2003",7.438,7.8,7.552
"Jul 1, 2003",8.256,11.143,10.234
"Aug 1, 2003",8.124,8.815,8.451
"Sep 1, 2003",10.379,10.663,8.747
"Oct 1, 2003",8.316,8.338,7.898
"Nov 1, 2003",9.728,14.029,9.493
"Dec 1, 2003",10.33,14.368,9.808
"Dec 19, 2003",6.06,7.13,6.435
"Feb 4, 2004",-0.859,-0.439,-2.039
"Mar 1, 2004",-3.23,-2.981,-3.96
"Apr 1, 2004",1.03,-0.724,0.936
"May 1, 2004",3.975,5.818,5.057
"Jun 1, 2004",1.414,0.872,-0.492
"Jul 1, 2004",0.026,-0.357,-0.36
"Aug 1, 2004",-0.363,-0.085,-1.525
"Sep 1, 2004",-0.419,-0.606,-0.174
"Oct 1, 2004",1.616,1.724,2.853
"Nov 1, 2004",6.232,8.739,7.021
"Dec 1, 2004",5.131,5.106,4.2
"Jan 1, 2005",-1.343,-2.228,-2.135
"Feb 1, 2005",-3.943,-4.575,-5.518
"Mar 1, 2005",-6.555,-4.254,-6.304
"Apr 1, 2005",-7.701,-6.594,-6.23
"May 1, 2005",-0.181,-2.627,-0.63
"Jun 1, 2005",1.439,0.223,0.898
"Jul 1, 2005",-0.544,-1.503,-1.807
"Aug 1, 2005",-0.106,-1.108,-0.153
"Sep 1, 2005",2.577,0.98,2.728
"Oct 1, 2005",1.397,1.386,2.921
"Nov 1, 2005",2.878,1.543,3.206
"Dec 1, 2005",-0.94,-2.368,-2.965
"Jan 1, 2006",-5.098,-7.81,-6.116
"Feb 1, 2006",-10.616,-12.256,-9.857
"Mar 1, 2006",-8.563,-11.743,-7.884
"Apr 1, 2006",-6.908,-6.525,-6.276
"May 1, 2006",-4.484,-3.836,-5.515
"Jun 1, 2006",-6.075,-3.795,-4.966
"Jul 1, 2006",-6.659,-5.312,-4.412
"Aug 1, 2006",-5.059,-4.619,-2.945
"Sep 1, 2006",-5.757,-5.036,-5.257
"Oct 1, 2006",-4.173,-2.382,-4.267
"Nov 1, 2006",3.021,3.984,1.29
"Dec 1, 2006",6.336,6.351,6.12
"Jan 1, 2007",3.931,3.734,3.224
"Feb 1, 2007",-1.778,-1.908,-1.783
"Mar 1, 2007",-5.405,-5.92,-5.474
"Apr 1, 2007",-4.572,-4.82,-6.425
"May 1, 2007",-3.224,-1.378,-1.871
"Jun 1, 2007",-0.551,0.679,0.479
"Jul 1, 2007",2.159,5.124,4.107
"Aug 1, 2007",4.41,5.093,3.887
"Sep 1, 2007",7.324,7.52,5.623
"Oct 1, 2007",8.327,8.614,9.419
"Nov 1, 2007",10.095,11.321,10.295
"Dec 1, 2007",7.043,7.866,8.417
"Jan 1, 2008",2.849,4.245,1.344
"Feb 1, 2008",-0.618,0.755,-1.592
"Mar 1, 2008",-2.605,-1.618,-2.777
"Apr 1, 2008",1.899,0.617,1.009
"May 1, 2008",1.194,1.006,2.165
"Jun 1, 2008",1.305,-0.973,2.983
"Jul 1, 2008",-0.14,0.356,0.083
"Aug 1, 2008",3.74,3.487,3.294
"Sep 1, 2008",2.901,1.974,4.595
"Oct 1, 2008",6.534,5,7.367
"Nov 1, 2008",7.738,7.571,8.594
"Dec 1, 2008",3.428,2.213,3.643
"Jan 1, 2009",1.058,0.85,0.522
"Feb 1, 2009",-0.719,-1.871,-1.488
"Mar 1, 2009",-2.72,-2.11,-2.636
"Apr 1, 2009",-2.284,-1.742,-0.601
"May 1, 2009",-1.778,-0.274,-0.404
"Jun 1, 2009",-0.07,-1.215,-1.894
"Jul 1, 2009",-0.696,-1.15,-2.419
"Aug 1, 2009",-3.31,-4.544,-2.439
"Sep 1, 2009",-1.452,-2.443,-0.917
"Oct 1, 2009",0.585,0.442,-1.319
"Nov 1, 2009",2.215,2.51,2.367
"Dec 1, 2009",-0.373,0.894,-1.252
"Jan 1, 2010",1.451,1.847,-0.582
"Feb 1, 2010",-1.685,-2.669,-1.012
"Mar 1, 2010",0.301,1.605,2.852
"Apr 1, 2010",1.12,1.46,0.416
"May 1, 2010",5.639,5.179,4.235
"Jun 1, 2010",4.041,3.912,2.216
"Jul 1, 2010",4.559,7.939,6.294
"Aug 1, 2010",3.262,2.514,3.677
"Sep 1, 2010",4.989,3.457,3.95
"Oct 1, 2010",4.512,5.036,4.497
"Nov 1, 2010",8.091,7.589,8.069
"Dec 1, 2010",3.237,4.113,4.941
"Feb 8, 2011",-3.104,-4.922,-2.878
"Mar 1, 2011",-6.364,-8.081,-8.468
"Apr 1, 2011",-8.382,-6.602,-8.268
"May 1, 2011",-3.494,-4.602,-3.358
"Jul 5, 2011",-3.821,-4.519,-4.348
"Aug 1, 2011",-2.742,-3.091,-2.235
"Sep 1, 2011",2.635,0.775,0.434
"Oct 1, 2011",4.842,5.585,5.667
"Oct 16, 2011",9.912,12.919,9.813
"Dec 13, 2011",6.977,9.386,7.766
"Jan 1, 2012",3.079,3.597,3.092
"Feb 1, 2012",-0.786,-4.148,-2.559
"Mar 1, 2012",-3.917,-9.062,-3.546
"Mar 20, 2012",-3.184,-5.992,-3.643
"Jun 1, 2012",3.13,1.686,1.885
"Jul 1, 2012",4.165,4.026,5.428
"Aug 1, 2012",5.754,5.934,5.546
"Sep 1, 2012",8.797,9.015,8.388
"Nov 6, 2012",12.624,14.184,13.299
"Dec 1, 2012",11.039,11.245,11.441
"Jan 1, 2013",10.695,12.86,8.098
"Feb 1, 2013",5.854,4.209,5.488
"Apr 11, 2013",10.642,11.052,9.983
"May 1, 2013",11.641,9.193,10.465
